,X,Y,FireDiscoveryDateTime,InitialLatitude,InitialLongitude,POOCounty,IncidentSize,FireCause,Temperature,Precipitation
127,-121.56601407,44.327805503,2015/03/06 22:05:00+00,,,Deschutes,,,42.4,0.060666666666666674
128,-121.32171397100001,44.005875505000105,2019/08/08 19:30:20+00,44.00587,-121.3217,Deschutes,0.1,Human,64.0,0.03266666666666666
129,-118.67701384,45.6302158780001,2020/12/20 20:48:00+00,45.63021,-118.677,Umatilla,0.1,Unknown,34.7,0.07033333333333333
130,-122.748613976,42.77805528800009,2018/07/15 15:24:59+00,42.77805,-122.7486,Jackson,0.1,Natural,70.9,0.002
131,-123.173014271,44.070005329,2015/12/01 21:58:00+00,44.07,-123.1731,Lane,,Undetermined,38.8,0.6986666666666667
132,-122.65529161299999,42.0152830230001,2016/06/24 22:01:00+00,,,Jackson,,,62.1,0.039
133,-121.69241393200001,43.465075433,2019/08/30 19:00:14+00,43.46507,-121.6924,Klamath,0.1,Unknown,63.9,0.02433333333333333
134,-122.368347159,42.246116397,2016/08/30 23:52:59+00,,,Jackson,,,70.3,0.0003333333333333333
135,-123.16901426700001,44.04830532800001,2015/12/01 23:44:00+00,44.0483,-123.1689,Lane,,Undetermined,38.8,0.6986666666666667
136,-121.266402995,44.76028334000011,2022/07/05 05:55:00+00,,,Jefferson,,,70.4,0.007333333333333333
137,-122.363069467,42.744171988000105,2020/10/30 21:20:00+00,,,Jackson,,,55.8,0.03033333333333333
138,-119.56481385200001,44.915435738999996,2017/06/27 00:21:59+00,44.91752,-119.5421,Grant,,Undetermined,57.2,0.044333333333333336
139,-123.543902885,42.188616288,2022/02/14 15:49:59+00,,,Josephine,,,42.6,0.038
140,-118.95871365200001,44.415295761,2017/08/26 16:52:28+00,44.41529,-118.9587,Grant,0.25,Undetermined,67.6,0.008333333333333333
141,-123.280200098,42.4375024170001,2021/06/28 15:14:59+00,,,Josephine,,,65.5,0.057333333333333326
142,-122.568713922,42.6205652940001,2017/07/26 18:52:00+00,42.62056,-122.5687,Jackson,0.1,Undetermined,70.5,0.0013333333333333333
143,-118.08401360399999,44.972805888,2015/05/27 21:07:00+00,,,Baker,,,53.7,0.08666666666666667
144,-122.31172216200001,45.215222483999995,2022/10/06 01:34:00+00,,,Clackamas,,,56.2,0.16699999999999998
145,-119.178513693,44.432015741,2016/10/09 18:37:36+00,44.42529,-119.1734,Grant,43.67,Human,45.0,0.10866666666666666
146,-122.94901425799999,44.1811353580001,2017/08/03 19:05:00+00,44.18113,-122.949,Lane,1.5,Human,68.7,0.004333333333333333
147,-122.74789171200001,42.399052463000004,2022/06/30 23:24:00+00,,,Jackson,,,59.6,0.07466666666666667
148,-121.262014105,44.7600055610001,2015/07/05 05:54:00+00,,,Jefferson,,,68.5,0.012666666666666666
149,-121.14351406,44.63010556400009,2017/08/23 20:45:00+00,44.62893,-121.1386,Jefferson,1.3,Human,70.2,0.008666666666666666
150,-122.50718063299999,42.745472008,2021/04/29 00:00:00+00,,,Jackson,,,49.5,0.014333333333333332
151,-123.22281397399999,42.342855216,2018/07/15 15:00:00+00,42.34285,-123.2233,Jackson,0.1,Natural,70.9,0.002
152,-122.568213934,42.6925052990001,2017/08/08 15:36:59+00,42.6925,-122.5682,Jackson,0.25,Undetermined,72.0,0.010333333333333332
153,-121.248903001,44.806950009,2020/04/18 03:36:59+00,,,Jefferson,,,46.7,0.025
154,-122.524013886,42.450605286999995,2014/07/30 15:35:00+00,,,Jackson,,,72.6,0.012666666666666666
155,-123.620014255,43.621394159,2021/06/02 03:14:59+00,,,Douglas,110.0,Human,64.5,0.05466666666666666
156,-121.473069694,44.7555610960001,2020/04/18 18:59:59+00,,,Jefferson,,,46.7,0.025
157,-123.19001427,44.0494053260001,2015/12/02 23:03:59+00,44.0494,-123.1901,Lane,,Undetermined,38.8,0.6986666666666667
158,-117.504013406,44.4767059050001,2014/08/14 09:26:00+00,,,Baker,,,66.8,0.02666666666666667
159,-122.606797157,42.193921962,2022/07/03 21:49:59+00,,,Jackson,,,71.0,0.015333333333333334
160,-122.479014305,44.7994054420001,2015/07/05 23:18:00+00,44.7994,-122.4794,Marion,,Undetermined,68.5,0.009333333333333334
161,-123.05811395399999,42.3702152330001,2017/08/10 23:44:00+00,42.37021,-123.0581,Jackson,0.1,Human,72.0,0.010333333333333332
162,-121.27306966100001,44.753338891999995,2021/06/30 12:48:00+00,,,Jefferson,,,66.1,0.013
163,-121.04731406100001,44.7181055790001,2022/08/26 14:44:00+00,44.67006,-121.155,Jefferson,0.1,Human,71.8,0.0026666666666666666
